Start,Output0,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10,Output11,Output12,Output13,Output14,Output15,Output16,Output17,Output18,Output19
Value0,81.5171,81.5171,81.5171,81.5171,81.5171,81.5171,79.0643,72.9881,72.9881,79.761,79.6296,79.6296,80.1427,79.7359,79.7865,79.8107,79.8107,79.8107,106.77,
Value1,79.5133,79.5133,79.5133,79.5133,79.5133,79.5133,76.9745,71.0347,71.0347,77.7037,77.5688,77.5688,78.1025,77.6777,77.7328,77.756,77.756,77.756,96.29,
Value2,78.4573,78.4573,78.4573,78.4573,78.4573,78.4573,75.891,69.8338,69.8338,76.6301,76.4989,76.4989,77.0593,76.6234,76.6807,76.7063,76.7063,76.7063,100.7,
Value3,77.8513,77.8513,77.8513,77.8513,77.8513,77.8513,75.2593,69.4286,69.4286,76.0055,75.8688,75.8688,76.4199,75.9833,76.0421,76.0692,76.0692,76.0692,98.23,
Value4,76.2928,76.2928,76.2928,76.2928,76.2928,76.2928,73.6556,68.0259,68.0259,74.42,74.2817,74.2817,74.8394,74.3951,74.4572,74.4811,74.4811,74.4811,93.84,
Value5,76.3272,76.3272,76.3272,76.3272,76.3272,76.3272,73.69,68.047,68.047,74.4576,74.3164,74.3164,74.877,74.4298,74.4918,74.5192,74.5192,74.5192,93.91,
Value6,74.2025,74.2025,74.2025,74.2025,74.2025,74.2025,71.5273,66.0205,66.0205,72.3097,72.1717,72.1717,72.7543,72.294,72.364,72.3889,72.3889,72.3889,88.15,
Value7,73.3956,73.3956,73.3956,73.3956,73.3956,73.3956,70.7148,65.16,65.16,71.502,71.3685,71.3685,71.9652,71.5051,71.573,71.5997,71.5997,71.5997,90.18,
Value8,72.1053,72.1053,72.1053,72.1053,72.1053,72.1053,69.432,63.5473,63.5473,70.2227,70.1079,70.1079,70.7478,70.2751,70.3415,70.3747,70.3747,70.3747,88.94,
Value9,72.5911,72.5911,72.5911,72.5911,72.5911,72.5911,69.9232,63.986,63.986,70.7132,70.5927,70.5927,71.23,70.7637,70.8254,70.8575,70.8575,70.8575,86.5,
Value10,68.4939,68.4939,68.4939,68.4939,68.4939,68.4939,65.8188,60.0888,60.0888,66.6277,66.5238,66.5238,67.2084,66.7242,66.7927,66.8258,66.8258,66.8258,77.44,
Value11,68.3522,68.3522,68.3522,68.3522,68.3522,68.3522,65.6625,60.2645,60.2645,66.4738,66.3595,66.3595,67.0204,66.5383,66.6114,66.6449,66.6449,66.6449,81.17,
Value12,68.7102,68.7102,68.7102,68.7102,68.7102,68.7102,65.999,60.971,60.971,66.815,66.6832,66.6832,67.3149,66.8363,66.9089,66.9374,66.9374,66.9374,78.69,
Value13,63.4257,63.4257,63.4257,63.4257,63.4257,63.4257,60.7573,56.3791,56.3791,61.5871,61.4665,61.4665,62.1207,61.6317,61.7179,61.7479,61.7479,61.7479,74.38,
Value14,61.5136,61.5136,61.5136,61.5136,61.5136,61.5136,58.882,54.6211,54.6211,59.7106,59.5982,59.5982,60.2775,59.7856,59.8699,59.9036,59.9036,59.9036,69.81,
Value15,62.8848,62.8848,62.8848,62.8848,62.8848,62.8848,60.2495,55.411,55.411,61.075,60.9729,60.9729,61.6746,61.1812,61.2633,61.299,61.299,61.299,71.9,
Value16,63.8546,63.8546,63.8546,63.8546,63.8546,63.8546,61.2041,56.2233,56.2233,62.028,61.9267,61.9267,62.6244,62.1356,62.2114,62.2451,62.2451,62.2451,74.08,
